,artist,danceability,energy,
Adorn,Miguel,0.625,0.576,
Louie Louie,Toots & The Maytals,0.759,0.772,
Under Mi Sensi,Barrington Levy,0.726,0.664,
Loner,Burial,0.611,0.9,
Murderer,Barrington Levy,0.865,0.549,
Space Cakes - Original,Tanner Ross,0.794,0.481,
"There, There",Radiohead,0.614,0.677,
Nightcall,Kavinsky,0.535,0.857,
Jacket & Tie,Toyan,0.815,0.672,
Doom And Gloom - Jeff Bhasker Mix,The Rolling Stones,0.595,0.794,
All Of Me,Tanlines,0.683,0.698,
Females Welcomed (feat. Reija Lee),Trinidad James,0.722,0.619,
Blueberry (Pills & Cocaine) (feat. Danny Brown),Darq E Freaker,0.647,0.841,
Max Can't Surf,FIDLAR,0.428,0.972,
Wait for the Man,FIDLAR,0.325,0.918,
Inspector Norse,Todd Terje,0.912,0.781,
Love Sosa,Chief Keef,0.771,0.416,
This Time Around,Softwar,0.759,0.764,
See Blind Through,Canyons,0.691,0.737,
Vowels = space and time,Grimes,0.701,0.822,
Be A Body,Grimes,0.736,0.58,
Unchained (The Payback / Untouchable),James Brown,0.564,0.912,
Stomp - Dirty,5kinAndBone5,0.824,0.513,
Borrowed Time,Parquet Courts,0.406,0.74,
Young N*****,Gucci Mane,0.762,0.883,
All Gold Everything,Trinidad James,0.54,0.77,
What I Might Do - Club Mix,Ben Pearce,0.834,0.481,
I Love It (feat. Charli XCX) - Original Version,Icona Pop,0.714,0.905,
Kenosha,Swearin',0.36,0.774,
Fineshrine,Purity Ring,0.609,0.798,
Flow,Disclosure,0.777,0.688,
C'Est La Vie,Booba,0.749,0.647,
Caramel,Booba,0.67,0.544,
O.G,Booba,0.684,0.637,
HLM 3,Lunatic,0.633,0.85,
The Mighty Ming - Original Club Mix,Funkagenda,0.594,0.77,
Harlem Shake,Baauer,0.473,0.794,
Purp Walk,Lunice,0.931,0.606,
Do You Like It? (Feat. Kool A.D),Chaz Van Queen,0.744,0.685,
Gucci On The Rise,Gucci Mane,0.752,0.783,
Hate Bein' Sober,Chief Keef,0.821,0.469,
Traffic,Lil Reese,0.908,0.513,
Hold Me Back,Rick Ross,0.636,0.702,
Oldie,Odd Future,0.839,0.583,
Started From the Bottom,Drake,0.79,0.531,
Dum Dum,Baauer,0.787,0.81,
Higher - Extended,Just Blaze and Baauer,0.603,0.978,
"Gone, Gone",Juicy J,0.937,0.67,
Rock Creek Park,The Blackbyrds,0.748,0.703,
Leaving Babylon,Bad Brains,0.727,0.235,
Trap Shit V7,UZ,0.857,0.948,
Good Life - Original 12'' Mix,Inner City,0.793,0.978,
Big Fun - Original 12'' Mix,Inner City,0.738,0.808,
Piss Test (feat. Juicy J & Dany Brown),A-Trak,0.864,0.86,
Can't Seem To Make You Mine,Sky Saxon & The Seeds,0.688,0.457,
Borderline,Classixx,0.786,0.525,
Elevate - Q45 Remix,Toni Toni Lee,0.734,0.686,
With You (feat. Alexis Taylor),Carte Blanche (feat. Alexis Taylor),0.765,0.891,
Can't Shake This Feeling,Grum,0.725,0.798,
Check Me Out Like,Blaqstarr,0.962,0.592,
Second Summer,YACHT,0.845,0.455,
Demon To Lean On,Wavves,0.5,0.95,
Walk In The Park,Beach House,0.648,0.547,
Reckless (With Your Love),Azari & III,0.77,0.69,
Reckless (With Your Love) - Tensnake Remix,Azari & III,0.61,0.907,
Never Be Your Woman (Shy FX Radio Edit) [feat. Emeli SandÃ©],Wiley,0.663,0.877,
(Bonus) Break Her Down,Iamsu!,0.831,0.373,
Molly Ringwald,Danny Brown,0.653,0.817,
8 Feet Tall,Problem,0.72,0.748,
36 Chamber Flow,Flatbush Zombies,0.808,0.593,
Trill Hoe,Western Tink,0.798,0.481,
Saturday Love,Toro y Moi,0.586,0.915,
Sweater Weather,The Neighbourhood,0.695,0.615,
Oh My - Club Mix,The Partysquad,0.587,0.784,
Saltkin,Purity Ring,0.675,0.862,
Lofticries,Purity Ring,0.671,0.73,
Get It In,Iamsu!,0.632,0.793,
My Bad - Club Mix,The Partysquad,0.774,0.92,
I'm Different,2 Chainz,0.941,0.685,
Get Lucky - Radio Edit,Daft Punk,0.794,0.811,
Had A Dream,EMP DASME,0.805,0.634,
Recover,CHVRCHES,0.394,0.669,
Now Is Not the Time,CHVRCHES,0.635,0.459,
MDA,Problem,0.669,0.765,
Pop That,French Montana,0.742,0.912,
Young & Gettin' It - feat. Kirko Bangz,Meek Mill,0.624,0.752,
Best Wishes,Iamsu!,0.622,0.628,
Kids,Iamsu!,0.719,0.66,
Levitate,Paper Diamond,0.525,0.8,
Get Free (feat. Amber of Dirty Projectors),Major Lazer,0.525,0.538,
Balance,Future Islands,0.472,0.855,
The Lion - Original Mix,The Partysquad,0.9,0.929,
For Your Love - Club Edit,The Partysquad,0.802,0.586,
For Your Love - Olav Basoski Remix,The Partysquad,0.723,0.669,
Slippinâ€™,Quadron,0.797,0.508,
Take You On,Peaches,0.869,0.426,
One of Those Nights,Juicy J,0.756,0.595,
Get Lucky - Daft Punk Remix,Daft Punk,0.821,0.793,
No Way Back,Adonis,0.806,0.772,
Ride The Rhythm,On The House featuring Marshall Jefferson,0.702,0.504,
Move Your Body - Extended Mix,Benny Benassi,0.646,0.929,
Rockin' In The Free World,Neil Young,0.491,0.883,
Feels Like We Only Go Backwards,Tame Impala,0.291,0.901,
Half Full Glass of Wine,Tame Impala,0.683,0.776,
"Bubble Butt [Radio Mix] [feat. Bruno Mars, 2 Chainz, Tyga & Mystic]",Major Lazer,0.799,0.605,
Wop (Official Version),J. Dash,0.836,0.817,
Donâ€™t Drop That Thun Thun,Finatticz,0.931,0.415,
Give It Away,Red Hot Chili Peppers,0.683,0.989,
Wakin on a Pretty Day,Kurt Vile,0.379,0.782,
Hulk (Dillon Francis Remix),Clockwork,0.771,0.949,
Dill the Noise,Dillon Francis and Kill The Noise,0.695,0.792,
Dead Sound,The Raveonettes,0.375,0.804,
Rvtchet Bitch,Brillz & Teddy Tuxedo,0.421,0.8,
Swing,Savage,0.886,0.474,
You & Me - Baauer Remix,Disclosure,0.65,0.985,
Next Order,Dog Blood,0.76,0.944,
It's You,Duck Sauce,0.824,0.883,
m.A.A.d city,Kendrick Lamar,0.482,0.72,
Bounce It,Juicy J,0.786,0.604,
Pu$$y Magnet (feat. Keayshawn),Roach Gigz,0.853,0.578,
Fashion Killa,A$AP Rocky,0.794,0.82,
I Wanna Be With You,DJ Khaled,0.725,0.661,
Gas Pedal (feat. IamSu),Sage The Gemini,0.854,0.46,
Red Nose,Sage The Gemini,0.862,0.364,
"U.O.E.N.O. Remix (feat. Future, Wiz Khalifa)",Rocko,0.432,0.703,
VERSACE,Flap Jack,0.847,0.713,
Strictly 4 My Jeeps,Action Bronson,0.654,0.794,
The Giver - Original Mix,Duke Dumont,0.701,0.914,
Lean & Bounce,Duke Dumont,0.844,0.728,
Swishas and Dosha - Main Version - Clean,UGK,0.582,0.884,
Players Anthem,UGK,0.697,0.682,
"Hold On, We're Going Home",Drake,0.766,0.453,
Living,2 Chainz,0.872,0.541,
Taylor Gang - Bonus Track,Wiz Khalifa,0.621,0.813,
I'm A Martian,Brian Pumper,0.675,0.617,
The Drop,Bro Safari,0.689,0.879,
Drippin,MiM0SA,0.63,0.664,
Heaven,TR/ST,0.514,0.75,
I Need You,Glass Figure,0.599,0.677,
From Nowhere,Dan Croll,0.64,0.888,
I Follow Rivers,Lykke Li,0.599,0.533,
L'Amour Parfait,Yelle,0.667,0.901,
Northern Lights,Kate Boy,0.742,0.77,
Shabba,A$AP Ferg,0.874,0.704,
Work,A$AP Ferg,0.726,0.834,
Work REMIX,A$AP Ferg,0.834,0.732,
The Way We Are,Kate Boy,0.712,0.865,
"U.O.E.N.O. (feat. Rick Ross, Future)",Rocko,0.422,0.641,
Now You Do,A-1,0.651,0.773,
Holding On - Jerome LOL Remix,Classixx,0.728,0.77,
Music Is the Answer - Original Extended 12-Inch Mix,Celeda,0.907,0.643,
Test Me - UZ Remix,Flosstradamus & DJ Sliink,0.855,0.898,
Test Me,Flosstradamus & DJ Sliink,0.769,0.792,
No New Friends - SFTB Remix,DJ Khaled,0.7,0.675,
R.I.P.,Jeezy,0.825,0.489,
Baby Blue,Badfinger,0.607,0.913,
Dip,Danny Brown,0.751,0.882,
25 Bucks [feat. Purity Ring],Danny Brown,0.723,0.848,
Fascism,Sam Sparro,0.626,0.888,
Marc Jacobs,Riff Raff,0.743,0.633,
One Of Us - Original Mix,Iron Galaxy & Sexlife,0.752,0.767,
Can We Go Up?,Paper Diamond,0.66,0.763,
This Lonely Morning,Best Coast,0.211,0.963,
Time Has Come Today,The Chambers Brothers,0.528,0.514,
Sad Eyes,Crystal Castles,0.442,0.797,
Wearing My Rolex - Radio Edit,Wiley,0.876,0.716,
Need U (100%) [feat. A*M*E] [Radio Edit],Duke Dumont,0.67,0.848,
Stoned and Starving,Parquet Courts,0.237,0.89,
Reflektor,Arcade Fire,0.59,0.721,
Jack,Breach,0.907,0.616,
Tennis Court,Lorde,0.764,0.547,
Primetime (feat. Miguel),Janelle MonÃ¡e,0.667,0.465,
"Hold On, We're Going Home",Drake,0.772,0.407,
Hannah Hunt,Vampire Weekend,0.345,0.313,
Latch,Disclosure,0.502,0.732,
Play by Play,Autre Ne Veut,0.35,0.844,
I Blame Myself,Sky Ferreira,0.69,0.737,
Sunday,Earl Sweatshirt,0.716,0.568,
Step,Vampire Weekend,0.624,0.724,
You're Not Good Enough,Blood Orange,0.74,0.798,
Strandbar (disko),Todd Terje,0.81,0.949,
Open,Rhye,0.574,0.324,
Falling,HAIM,0.741,0.894,
White Noise,Disclosure,0.667,0.848,
Bumpy Road,Destruction Unit,0.122,0.913,
Shabba,A$AP Ferg,0.869,0.712,
Work REMIX,A$AP Ferg,0.841,0.733,
Dope,Tyga,0.816,0.543,
Here Comes The Night Time II,Arcade Fire,0.288,0.394,
Warm In The Winter,Glass Candy,0.57,0.742,
Don't Let It Get to Your Head,Black Harmony,0.807,0.634,
We Fall Down,ASTR,0.656,0.787,
R U With Me,ASTR,0.333,0.789,
Blue Hawaii,ASTR,0.652,0.744,
Razor,ASTR,0.771,0.857,
Stay,Rihanna,0.619,0.324,
The Sound Of San Francisco - Progressive Album Mix,Global Deejays,0.701,0.829,
Sunshine Of Your Love,Cream,0.683,0.478,
Somebody to Love,Jefferson Airplane,0.507,0.63,
San Francisco (Be Sure to Wear Flowers In Your Hair) - Single Version,Scott McKenzie,0.529,0.645,
White Rabbit,Jefferson Airplane,0.561,0.329,
Pleasure Power (DJ Smash Disco Remix),Afrolicious,0.827,0.462,
Bound 2,Kanye West,0.359,0.662,
Drunk in Love,BeyoncÃ©,0.589,0.621,
Viol - Original Mix,Gesaffelstein,0.597,0.839,
Good Mistake,Mr Little Jeans,0.677,0.64,
Runaway,Mr Little Jeans,0.556,0.722,
Fall In Love,Phantogram,0.348,0.856,
Youâ€™re Not The One,Sky Ferreira,0.468,0.971,
Sacrilege,Yeah Yeah Yeahs,0.529,0.95,
Collard Greens,ScHoolboy Q,0.824,0.572,
Hell Of A Night,ScHoolboy Q,0.645,0.836,
1977,Ana Tijoux,0.683,0.692,
Latino & Proud,DJ Raff,0.85,0.534,
Move That Dope,Future,0.868,0.627,
Slasherr,Rustie,0.702,0.74,
Outlines,AlunaGeorge,0.741,0.449,
Platoon,Jungle,0.655,0.704,
Man Of The Year,ScHoolboy Q,0.749,0.857,
Spacer Woman - Vocal,Charlie,0.742,0.965,
Nobody Else - Original Mix,Dusky,0.805,0.79,
Stoner,Young Thug,0.876,0.675,
Elevate,St. Lucia,0.541,0.982,
Independent - House Remix,Hoodfellas,0.857,0.981,
Au Seve,Julio Bashmore,0.771,0.963,
Synchronize,Discodeine,0.761,0.478,
Don't Miss,The Alexanders,0.805,0.879,
Coucou disco,Dim Sum,0.682,0.953,
Vowel Play - Original,Them Jeans,0.801,0.718,
The Devil Is A Lie,Rick Ross,0.661,0.837,
North North,Project Pat,0.895,0.783,
Temporary View,SBTRKT,0.706,0.707,
"III. Telegraph Ave. (""Oakland"" by Lloyd)",Childish Gambino,0.516,0.718,
Accelerate,Jungle,0.653,0.781,
0 To 100 / The Catch Up,Drake,0.707,0.709,
Hot N*gga,Bobby Shmurda,0.794,0.51,
You'll Never Walk Alone - 2002 Remastered Version,Gerry & The Pacemakers,0.484,0.265,
Your Soul,Hippie Sabotage,0.487,0.68,
dance yrself clean - live at madison square garden,LCD Soundsystem,0.6,0.811,
Running Up That Hill (A Deal With God),Kate Bush,0.628,0.575,
High Ball Stepper,Jack White,0.227,0.635,
The Great Gig In The Sky - 2011 Remastered Version,Pink Floyd,0.275,0.216,
All We Need (feat. Shy Girls),ODESZA,0.644,0.848,
Catamaran,Allah-Las,0.564,0.846,
Fool,Perfume Genius,0.277,0.29,
Bulbform,TR/ST,0.609,0.909,
Passing Out Pieces,Mac Demarco,0.417,0.73,
Tuesday,ILoveMakonnen,0.784,0.649,
Drop Dead Baby,Ty Segall,0.289,0.942,
My Sunshine,Ty Segall,0.313,0.893,
BIG Fun - Full Intention 88 Remix,Inner City,0.803,0.769,
Natty Dread A Weh She Want,Horace Andy,0.895,0.517,
DLZ,TV On The Radio,0.598,0.885,
Whatcha Gonna Do,Koopsta Knicca,0.749,0.855,
18 With A Bullet,Pete Wingfield,0.758,0.629,
The Boss,James Brown,0.746,0.484,
Drifting In And Out,Porcelain Raft,0.191,0.979,
Made Me,Snootie Wild,0.856,0.719,
Way to be Loved,TOPS,0.583,0.515,
Just Wanna Love You Girl,Epsilons,0.22,0.94,
Be Brave,The Strange Boys,0.535,0.91,
Tupelo (Pt. 1) - Single Version,Albert King,0.722,0.28,
Candyman,Cornershop,0.747,0.894,
Somebody Was Watching,Pops Staples,0.63,0.374,
Tupelo - Part 1,Pop Staples,0.508,0.247,
Tupelo,Steve Cropper,0.54,0.21,
"Damn Son, Where'd You Find This? - Future of TRAP Mix",Trendsetter,0.665,0.513,
I'm in LOVE With GO-GO Dancer (Disco Diva) - Future of TRAP Mix,Trendsetter,0.51,0.603,
Damn Son Where'd You Find This? (feat. Kelly Holiday) - Markus Maximus Remix,Markus Maximus,0.665,0.513,
Work - The Advent & Spiriakos Remix,ZZT,0.647,0.793,
Mannish Boy,Muddy Waters,0.649,0.406,
Holding On,Disclosure,0.683,0.805,
"Mozart: Requiem in D Minor, K. 626: VIII. Lacrimosa",Nikolaus Harnoncourt,0.148,0.031,
My Main,Mykfresh,0.873,0.504,
Southern Man - Live,"Crosby, Stills, Nash & Young",0.376,0.801,
Won't Look Back,Duke Dumont,0.523,0.863,
Chrome Knight - Feat. Chromeo,Surkin,0.586,0.892,
Black Boy,Pops Staples,0.827,0.503,
Give Me The Sunshine,Leo's Sunshipp,0.589,0.616,
Motherless Child,Romare,0.702,0.495,
Giudecca,Ghost Culture,0.582,0.875,
Living Every Dream,Antwon,0.374,0.853,
Easy Rider,Action Bronson,0.422,0.851,
Nissim,The Gaslamp Killer,0.474,0.837,
Topless,Orlando Julius,0.61,0.672,
Breakthrough,The Funkees,0.571,0.836,
Stand Up - Tiger & Woods Remix,Pitchben,0.802,0.872,
Blow a Bag,Future,0.793,0.607,
Ain't got nobody,SÃ,0.846,0.472,
I Want'a Do Something Freaky To You,Leon Haywood,0.575,0.641,
I Got a Feeling,Shit Robot,0.787,0.916,
Standard,Empress Of,0.614,0.575,
What I Might Do - Club Mix,Ben Pearce,0.835,0.481,
Let's Lovedance Tonight - Danny Krivit Re-edit - Original Disco Version,Gary's Gang,0.696,0.852,
Do You Love Me,The Contours,0.597,0.71,
Too Bad I Have To Destroy You Now,Kid Cudi,0.609,0.664,
Louie Louie,The Sonics,0.571,0.839,
Heart Full of Soul,The Yardbirds,0.494,0.666,
For Your Love,The Yardbirds,0.347,0.638,
Sunshine Of Your Love,Cream,0.684,0.486,
Taifa - The Emperor Machine Mix,Partial Arts,0.787,0.679,
Taifa,Partial Arts,0.696,0.643,
Make It,Patrick Di Stefano,0.894,0.676,
Face It,Master C & J,0.81,0.547,
Mary-Mary (M&M Unreleased Mix) [feat. Dajae],Grand High Priest,0.739,0.878,
Supernature - Edit,Cerrone,0.641,0.954,
I'll Be Good,Rene & Angela,0.829,0.65,
Defected In The House Ibiza 2013 Mixtape,Simon Dunmore,0.777,0.671,
"A Day In The Life - feat. RZA, The Mars Volta & AG + Good Hygiene feat. Tim Meadows Amended CD Version",Handsome Boy Modeling School,0.567,0.851,
Episode I - Duel of The Fates,John Williams,0.44,0.433,
Three Cool Cats,The Coasters,0.745,0.544,
Mercy,The Third Degree,0.616,0.943,
Do I Love You?,The Ronettes,0.462,0.714,
Night on Bald Mountain,Modest Mussorgsky,0.334,0.265,
Akue We Non Houme - Jerk Fon,T. P. Orchestre Poly-Rythmo,0.686,0.61,
Ecoute ma mÃ©lodie - Bossa Afro,T. P. Orchestre Poly-Rythmo,0.691,0.714,
Ole,The Funkees,0.592,0.688,
Greetings,Joni Haastrup,0.653,0.875,
5thep,Todd Osborn,0.86,0.857,
Cavern,Liquid Liquid,0.682,0.78,
Your Love,Mick Jenkins,0.703,0.464,
Sleepwalk,Santo & Johnny,0.444,0.412,
What I Might Do - Kilter Remix,Ben Pearce,0.476,0.571,
Waiting Around For Grace,Pond,0.313,0.872,
Nobodys Fool - Ben Pearce Remix,Real Connoisseur,0.636,0.864,
Smoke On The Water,Deep Purple,0.632,0.586,
Able to See Me,Hippie Sabotage,0.43,0.734,
Oogum Boogum Song,Brenton Wood,0.833,0.684,
The Gaudy Side of Town,Gayngs,0.688,0.421,
The Walker,Gayngs,0.438,0.404,
Ultimate Painting,Ultimate Painting,0.789,0.698,
Agorinha,Sango,0.819,0.671,
I'm Glad,Captain Beefheart & His Magic Band,0.366,0.407,
Apollo Throwdown (Star Slinger Remix),The Go! Team,0.71,0.959,
Boys Life,Small Black,0.582,0.734,
Dirt And Grime,Fathers Children,0.545,0.507,
Pedestrian at Best,Courtney Barnett,0.479,0.854,
Middle,DJ Snake,0.564,0.737,
Something About You - Extended Mix,Hayden James,0.89,0.52,
Only You,Mac Demarco,0.363,0.755,
The One,ZHU,0.867,0.669,
Way Down We Go,Kaleo,0.59,0.578,
Deeper Than Love,Colleen Green,0.832,0.496,
Back Pocket,Vulfpeck,0.839,0.585,
All I Wanna Do,The Beach Boys,0.447,0.416,
Water,Jamaican Queens,0.598,0.657,
You,Ejeca,0.643,0.889,
Voodoo Ray - Danny Tenaglia Remix,A Guy Called Gerald,0.746,0.613,
Jack,Breach,0.906,0.648,
Jack,Breach,0.907,0.616,
Mary Jane (Jamie Xx - Girl Remix),Jamie xx,0.578,0.633,
Chunky - Club Mix,Format:B,0.808,0.916,
One Who Lost,DJ Dodger Stadium,0.745,0.894,
Delorean Dynamite,Todd Terje,0.634,0.858,
Do You Want a Man - Heaven & Hell Remix,William Onyeabor,0.603,0.921,
Celebrando,CLUBZ,0.587,0.841,
No Eyes (Radio Edit),Claptone,0.93,0.483,
Fanfare,Magic City Hippies,0.585,0.62,
Dorothy,Polo & Pan,0.803,0.427,
Long Cool Woman (In A Black Dress) - 1999 Remastered Version,The Hollies,0.757,0.868,
Bang A Gong [Get It On] (Remastered Single/LP Version),T. Rex,0.729,0.818,
Paris Groove (Original Mix),Boston Bun,0.76,0.669,
Nothing,HNNY,0.79,0.427,
Hey DJ,Worlds Famous Supreme Team,0.786,0.963,
Tighten Up - Pt. 1,Archie Bell & The Drells,0.708,0.441,
Ohye Atar Gyan,Ebo Taylor,0.729,0.666,
Heaven,Ebo Taylor,0.76,0.636,
I'm Walkin' - 2002 Digital Remaster,Fats Domino,0.661,0.76,
"Bizarre Love Triangle - Shep Pettibone 12"" Remix",New Order,0.704,0.895,
Dreams Never End - 2015 Remastered Version,New Order,0.606,0.913,
Plastic - Extended Mix,New Order,0.587,0.915,
You Are the Right One,Sports,0.66,0.591,
Let Me Try,Kaleidoscope,0.34,0.454,
Thinking of You,Lord Echo,0.723,0.755,
Just Say The Word,Jerry Townes,0.285,0.512,
Obi Agye Me Dofo,Vis Ã  Vis,0.63,0.862,
I'm Going Down,Rose Royce,0.418,0.0962,
Said So What,French Kicks,0.529,0.571,
Carl Sagan,Night Moves,0.465,0.727,
Muzik Xpress,X-Press 2,0.69,0.911,
A Hundred Ropes,Minor Victories,0.449,0.962,
No Woman,Whitney,0.582,0.401,
Episode I - Duel of The Fates,John Williams,0.44,0.433,
Giant,The The,0.669,0.904,
Hush,Magic City Hippies,0.622,0.752,
Desire,DILLY DALLY,0.286,0.704,
Shut Up Kiss Me,Angel Olsen,0.373,0.63,
No Heart,21 Savage,0.906,0.444,
We Want Some Pussy,Ezale,0.789,0.682,
We Out Here,Ezale,0.822,0.863,
By Design,Kid Cudi,0.756,0.853,
Aloha,Chris Bear,0.555,0.759,
Bad and Boujee (feat. Lil Uzi Vert),Migos,0.897,0.661,
The Winner Is - from Little Miss Sunshine,DeVotchKa,0.654,0.499,
Virile,The Blaze,0.679,0.462,
Let Me Tell U,Jimmy Edgar,0.804,0.64,
Wonky Bassline Disco Banger,Red Rack'Em,0.815,0.459,
Remember,Gino Soccio,0.499,0.506,
Anti Social Tendencies,The Parallax Corporation,0.84,0.918,
What Time Is Love (Live at SSL mix),Lifelike,0.816,0.747,
The Spirit Blossoms All Over the Land,Onra,0.646,0.757,
On the Lips,Frankie Cosmos,0.658,0.568,
Stripper,Fancy Fux,0.865,0.603,
Operator (Ring Ring) ft. Dances With White Girls,Chris Lake,0.754,0.968,
Big Jet Plane - Animal Trainer Remix,Jan Blomqvist,0.89,0.443,
Fight,Nicolas Jaar,0.731,0.638,
Bambi,Jidenna,0.748,0.623,
Raindrops,The Silvertones,0.744,0.555,
Truths & Rights,Johnny Osbourne,0.77,0.409,
Smoke,Ohio Players,0.663,0.602,
You Are My Special Angel,The Vogues,0.236,0.706,
Just A Little Lovin',Dusty Springfield,0.354,0.366,
Unchained Melody,The Righteous Brothers,0.367,0.215,
Howl,Florence + The Machine,0.58,0.859,
For Free,DJ Khaled,0.916,0.571,
Mystery Of Love,Mr. Fingers,0.767,0.686,
Hung Over,The Martini's,0.864,0.552,
"Bold Soul Sister, Bold Soul Brother - USDEA0400901",The Black On White Affair,0.457,0.909,
Cane Shuga,Glass Animals,0.785,0.796,
Queen,Perfume Genius,0.418,0.547,
Get Lucky,Daft Punk,0.81,0.793,
Bugatti,Ace Hood,0.588,0.596,
Versace,Migos,0.841,0.729,
Black Skinhead,Kanye West,0.775,0.823,
Type of Way,Rich Homie Quan,0.85,0.509,
Recover,CHVRCHES,0.413,0.633,
Bitter Rivals,Sleigh Bells,0.76,0.79,
Gonna Die,Autre Ne Veut,0.409,0.532,
Angels,The xx,0.342,0.159,
GOT IT GOOD,KAYTRANADA,0.606,0.503,
I Got U,Duke Dumont,0.647,0.762,
Something About You - ODESZA Remix,Hayden James,0.709,0.669,
Oblivion,The Seshen,0.378,0.572,
Distant Heart,The Seshen,0.555,0.699,
Finally Moving,Pretty Lights,0.735,0.555,
Want My Love,Cathedrals,0.607,0.435,
Myth,Beach House,0.448,0.733,
Weary,Solange,0.507,0.466,
Treat Me Like Fire,LION BABE,0.667,0.658,
Something About You,Hayden James,0.855,0.605,
Let It Happen - Soulwax Remix,Tame Impala,0.739,0.848,
Hood Pass Intact,DÃ¢m-Funk,0.833,0.663,
Let's Dance (Single Version) [2002 Remastered Version],David Bowie,0.654,0.641,
Ode To Viceroy,Mac Demarco,0.514,0.632,
Five Seconds,Twin Shadow,0.468,0.88,
No Sleep Till Brooklyn,Beastie Boys,0.756,0.415,
F**kin' Problems,A$AP Rocky,0.869,0.687,
Swerve... the reeping of all that is worthwhile (Noir not withstanding),Shabazz Palaces,0.709,0.412,
Never Saw The Point,Cults,0.521,0.851,
212,Azealia Banks,0.858,0.789,
Forgiven/Forgotten,Angel Olsen,0.566,0.869,
All My Friends,LCD Soundsystem,0.701,0.788,
Lay Up,Future,0.772,0.612,
Father Stretch My Hands Pt. 1,Kanye West,0.714,0.566,
Big For Your Boots,Stormzy,0.515,0.902,
No Security,Skepta,0.859,0.624,
Fam,Saskilla,0.709,0.797,
Mr Skeng,Stormzy,0.699,0.724,
Beauty and the Beast,Bugzy Malone,0.497,0.734,
I Win,Lethal Bizzle,0.832,0.854,
Plottin,J HUS,0.88,0.697,
M.E.N,Bugzy Malone,0.506,0.43,
Cold,Stormzy,0.732,0.974,
Toothache,Jaykae,0.539,0.74,
Coward,Chip,0.494,0.78,
3 Wheel-ups (feat. Wiley & Giggs),Kano,0.545,0.904,
T On the Wing,President T,0.739,0.665,
Bad Boys (feat. Ghetts and J Hus),Stormzy,0.603,0.64,
Thiago Silva,Dave,0.667,0.673,
And Dat (Ft. Stormzy),Bonkaz,0.561,0.588,
6 In The Morning,Wiley,0.812,0.937,
Skepta Interlude,Drake,0.745,0.822,
Man Don't Care,Jme,0.673,0.922,
Luke Cage,AJ Tracey,0.794,0.801,
Shutdown,Skepta,0.575,0.723,
My Old Man,Zac Brown Band,0.64,0.196,
Losing Sleep,Chris Young,0.587,0.628,
Sleep Without You,Brett Young,0.631,0.716,
Yeah Boy,Kelsea Ballerini,0.589,0.809,
Craving You,Thomas Rhett,0.612,0.841,
More Girls Like You,Kip Moore,0.553,0.743,
Heart Break,Lady Antebellum,0.548,0.877,
Cut Your Groove,Charlie Worsham,0.528,0.842,
Black,Dierks Bentley,0.663,0.656,
The Weekend,Brantley Gilbert,0.53,0.809,
Reasons,Jillian Jacqueline,0.525,0.657,
Small Town Boy,Dustin Lynch,0.553,0.747,
Yours If You Want It,Rascal Flatts,0.533,0.91,
Roots,Zac Brown Band,0.726,0.595,
Sunday Morning,Parmalee,0.584,0.716,
Hurricane,Luke Combs,0.443,0.804,
Think A Little Less,Michael Ray,0.521,0.805,
Speak to a Girl,Tim McGraw,0.476,0.527,
Man Enough Now,Chris Bandi,0.591,0.577,
If I Told You,Darius Rucker,0.5,0.622,
Happy People,Little Big Town,0.674,0.706,
All On Me,Devin Dawson,0.631,0.658,
Somethin' I'm Good At,Brett Eldredge,0.562,0.94,
I Could Use a Love Song,Maren Morris,0.638,0.634,
Zac Brown Band - Hot Country,Various Artists,0.409,0.645,
Trying To Drive,Zac Brown Band,0.434,0.664,
"God, Your Mama, And Me",Florida Georgia Line,0.439,0.802,
Real Thing,Zac Brown Band,0.533,0.533,
They Don't Know,Jason Aldean,0.434,0.921,
Every Time I Hear That Song,Blake Shelton,0.523,0.725,
What Ifs,Kane Brown,0.612,0.799,
For Her,Chris Lane,0.51,0.904,
Act Like You Don't,Brooke Eden,0.55,0.774,
In Case You Didn't Know,Brett Young,0.596,0.544,
Two Black X's,Dylan Schneider,0.622,0.745,
You Look Good,Lady Antebellum,0.659,0.926,
Close,Ryan Kinder,0.479,0.86,
Ain't Always Pretty,Logan Mize,0.56,0.78,
Love in a Bar,Ryan Hurd,0.512,0.587,
Family Table,Zac Brown Band,0.403,0.745,
Any Ol' Barstool,Jason Aldean,0.536,0.722,
Dirt On My Boots,Jon Pardi,0.685,0.783,
Just a Phase,Adam Craig,0.71,0.498,
Body Like A Back Road,Sam Hunt,0.731,0.469,
How Not To,Dan + Shay,0.501,0.836,
Tin Man,Miranda Lambert,0.425,0.372,
Blue Tacoma,Russell Dickerson,0.458,0.894,
May We All,Florida Georgia Line,0.488,0.915,
Last Time for Everything,Brad Paisley,0.482,0.739,
Getting Over You,Jackie Lee,0.442,0.784,
Flatliner (feat. Dierks Bentley),Cole Swindell,0.555,0.896,
Like You That Way,Canaan Smith,0.41,0.738,
Hometown Girl,Josh Turner,0.507,0.81,
Star Of The Show,Thomas Rhett,0.69,0.626,
Either Way,Chris Stapleton,0.641,0.0628,
No Such Thing as a Broken Heart,Old Dominion,0.655,0.785,
